13,23,40,63,66,1
3,9,19,67,68,1
17,29,35,43,44,13
2,5,7,27,33,4
10,14,22,27,63,17
6,36,38,46,58,17
1,33,67,68,69,12
4,9,25,36,58,8
3,30,45,62,66,14
7,8,16,49,64,9
3,18,25,37,58,6
6,8,30,34,69,18
19,22,47,56,65,12
16,20,26,55,63,24
1,4,40,41,66,18
9,13,17,48,51,11
5,9,36,56,65,11
7,11,21,20,59,3
1,18,23,46,48,20
29,48,51,55,56,13
24,37,38,41,60,3
28,61,63,68,69,23
2,7,11,12,30,17
8,11,12,17,18,17
7,20,33,46,59,17
1,2,3,4,5,6
6,23,39,52,61,19
11,17,45,46,54,7
20,35,46,62,66,5
6,42,44,47,51,9
20,42,47,57,60,10
